Source.Name,YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,9,TRAIN,TE6,7331,2418
transport_node_train_202312.csv,2023-12,WEEKDAY,9,TRAIN,TE6,16686,3931
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,13,TRAIN,EW9,13954,12524
transport_node_train_202312.csv,2023-12,WEEKDAY,13,TRAIN,EW9,15552,14749
transport_node_train_202312.csv,2023-12,WEEKDAY,8,TRAIN,TE5,11020,5107
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,8,TRAIN,TE5,2407,1291
transport_node_train_202312.csv,2023-12,WEEKDAY,17,TRAIN,CC6,11650,11914
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,17,TRAIN,CC6,7727,7962
transport_node_train_202312.csv,2023-12,WEEKDAY,8,TRAIN,NE8,29713,34862
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,8,TRAIN,NE8,8770,10048
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,20,TRAIN,CC7,2235,4083
transport_node_train_202312.csv,2023-12,WEEKDAY,20,TRAIN,CC7,4012,8129
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,20,TRAIN,NS3,5389,12125
transport_node_train_202312.csv,2023-12,WEEKDAY,20,TRAIN,NS3,9753,28374
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,10,TRAIN,SE3,2276,742
transport_node_train_202312.csv,2023-12,WEEKDAY,10,TRAIN,SE3,3682,1108
transport_node_train_202312.csv,2023-12,WEEKDAY,9,TRAIN,EW16/NE3/TE17,23037,58270
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,9,TRAIN,EW16/NE3/TE17,8149,9641
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,18,TRAIN,NE16/STC,26916,32370
transport_node_train_202312.csv,2023-12,WEEKDAY,18,TRAIN,NE16/STC,61148,118364
transport_node_train_202312.csv,2023-12,WEEKDAY,12,TRAIN,TE3,7692,5897
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,12,TRAIN,TE3,5447,2160
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,5,TRAIN,EW15,251,40
transport_node_train_202312.csv,2023-12,WEEKDAY,5,TRAIN,EW15,858,575
transport_node_train_202312.csv,2023-12,WEEKDAY,18,TRAIN,NS7,36168,43655
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,18,TRAIN,NS7,21225,15239
transport_node_train_202312.csv,2023-12,WEEKDAY,0,TRAIN,NS15,426,1654
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,0,TRAIN,NS15,343,1097
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,15,TRAIN,NS15,7287,5565
transport_node_train_202312.csv,2023-12,WEEKDAY,15,TRAIN,NS15,18364,11135
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,22,TRAIN,DT7,1145,1614
transport_node_train_202312.csv,2023-12,WEEKDAY,22,TRAIN,DT7,1745,3015
transport_node_train_202312.csv,2023-12,WEEKDAY,15,TRAIN,PW4,4154,4947
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,15,TRAIN,PW4,3272,3265
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,22,TRAIN,TE4,1646,1580
transport_node_train_202312.csv,2023-12,WEEKDAY,22,TRAIN,TE4,2696,2860
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,15,TRAIN,EW23,24555,24318
transport_node_train_202312.csv,2023-12,WEEKDAY,15,TRAIN,EW23,37748,37581
