"station_code","stations","line","line_code","line_number","Score"
"NS15","Yio Chu Kang","North South Line","NSL",15,0.128530976941228
"NS16","Ang Mo Kio","North South Line","NSL",16,0.10667587173412
"NS17","Bishan","North South Line","NSL",17,0.357333824782513
"NS18","Braddell","North South Line","NSL",18,0.200858452020343
"NS19","Toa Payoh","North South Line","NSL",19,0.134134067871729
"NS20","Novena","North South Line","NSL",20,0.268592268136972
"NS21","Newton","North South Line","NSL",21,0.456186198878376
"NS22","Orchard","North South Line","NSL",22,0.505517472906631
"NS23","Somerset","North South Line","NSL",23,0.400827801826446
"NS24","Dhoby Ghaut","North South Line","NSL",24,0.342176498736393
"NS25","City Hall","North South Line","NSL",25,0.377821699076337
"NS26","Raffles Place","North South Line","NSL",26,0.352103470603086
"NS27","Marina Bay","North South Line","NSL",27,0.345425562096559
"NS28","Marina South Pier","North South Line","NSL",28,0.0616444268219326
"TE1","Woodlands North","Thomson East Coast Line","TEL",1,0
"TE2","Woodlands","Thomson East Coast Line","TEL",2,0.350997546049808
"TE3","Woodlands South","Thomson East Coast Line","TEL",3,0.057917029256962
"TE4","Springleaf","Thomson East Coast Line","TEL",4,0
"TE5","Lentor","Thomson East Coast Line","TEL",5,0.120739242667928
"TE6","Mayflower","Thomson East Coast Line","TEL",6,0.137095713797484
"TE7","Bright Hill","Thomson East Coast Line","TEL",7,0.0992911204760494
"TE8","Upper Thomson","Thomson East Coast Line","TEL",8,0.0921379923485097
"TE9","Caldecott","Thomson East Coast Line","TEL",9,0.381283856899114
"TE11","Stevens","Thomson East Coast Line","TEL",11,0.397524027224975
"TE12","Napier","Thomson East Coast Line","TEL",12,0.164128442766105
"TE13","Orchard Boulevard","Thomson East Coast Line","TEL",13,0.118053922078151
"TE14","Orchard","Thomson East Coast Line","TEL",14,0.505517472906631
"TE15","Great World","Thomson East Coast Line","TEL",15,0.0948522820881183
"TE16","Havelock","Thomson East Coast Line","TEL",16,0.372158143960097
"TE17","Outram Park","Thomson East Coast Line","TEL",17,0.328382424155513
"TE18","Maxwell","Thomson East Coast Line","TEL",18,0.477655696578844
"TE19","Shenton Way","Thomson East Coast Line","TEL",19,0.146290382305379
"TE20","Marina Bay","Thomson East Coast Line","TEL",20,0.345425562096559
"TE22","Gardens by The Bay","Thomson East Coast Line","TEL",22,0.0361206172981231
"TE23","Tanjong Rhu","Thomson East Coast Line","TEL",23,0.0531918347449304
"TE24","Katong Park","Thomson East Coast Line","TEL",24,0.0799230527141109
"TE25","Tanjong Katong","Thomson East Coast Line","TEL",25,0.113522699129759
"TE26","Marine Parade","Thomson East Coast Line","TEL",26,0.111189572178175
"TE27","Marine Terrace","Thomson East Coast Line","TEL",27,0.117312734934034
"TE28","Siglap","Thomson East Coast Line","TEL",28,0.153568142739869
"TE29","Bayshore","Thomson East Coast Line","TEL",29,0.129311925740073
