"","join_station","mrt_score","bus_score","walk_score","score"
"63","katongpark",0,17.5004542772246,NA,0.0469758873426008
"64","kembangan",0,10.7407350770698,NA,0.0288309979252248
"65","kentridge",0,15.1162470307225,NA,0.040576039130726
"66","khatib",0,3.40119738166216,NA,0.00912972100609088
"67","kingalbertpark",0,19.4701378018223,NA,0.0522630433150317
"68","kovan",0,28.6687966850891,NA,0.0769546974034468
"69","kranji",0,2.19722457733622,NA,0.00589793685216891
"70","labradorpark",0,30.086311551267,0.693147180559945,0.0820886796417402
"71","lakeside",0,10.2115603146356,NA,0.0274105517110367
"72","lavender",0,109.097424194382,0.728238500371215,0.294242863120034
"73","lentor",0,3.17805383034795,NA,0.00853074419316288
"74","littleindia",2,184.184776281845,0.693147180559945,0.501865529960139
"75","lorongchuan",0,24.2798656860513,NA,0.0651736359007423
"76","macpherson",2,78.0866790841419,NA,0.215740942297204
"77","marinabay",3,137.507663650431,1.70906775338294,0.381587300875181
"78","marinasouthpier",0,5.54517744447956,1.05605267424931,0.0169095404279143
"79","marineparade",0,14.0058002844074,NA,0.0375953038635996
"80","marineterrace",0,12.5831382791166,NA,0.0337764995612385
"81","marsiling",0,8.78889830934488,NA,0.0235917474086757
"82","marymount",0,22.043608377892,NA,0.0591709247874729
"83","mattar",0,25.0580204232797,NA,0.0672624107800736
"84","maxwell",0,105.744252847894,3.37175018033585,0.29031055000138
"85","mayflower",0,10.8967393255464,NA,0.0292497549406321
"86","mountbatten",0,43.9776177788864,0.810930216216329,0.119602480263326
"87","napier",0,14.5655181079533,0.810930216216329,0.0406525593776026
"88","newton",2,100.585135616318,NA,0.276132800856747
"89","nicollhighway",0,50.077921758074,NA,0.134422499758786
"90","novena",0,41.754907575708,NA,0.112081309616623
"91","one-north",0,14.3992624273487,NA,0.0386514612071517
"92","orchard",2,103.153646681829,NA,0.283027369679951
"93","orchardboulevard",0,16.0286714745988,0.810930216216329,0.0445800532944855
"94","outrampark",3,309.843656057074,1.42138568093116,0.843631490870224
"95","pasirpanjang",0,10.7913788098886,NA,0.0289669392127946
"96","pasirris",0,7.39018142822643,NA,0.0198372182067037
"97","payalebar",2,67.9110372450372,NA,0.188426805355369
"98","pioneer",0,16.6435869658212,NA,0.0446758269184307
"99","potongpasir",0,62.4363192840331,0.728238500371215,0.168992011180579
"100","promenade",2,151.963984524224,0.810930216216329,0.415602159671098
"101","punggol",0,3.58351893845611,NA,0.00961912069688786
"102","punggolcoast",0,1.38629436111989,NA,0.00372118384471895
"103","queenstown",0,14.4115960256811,NA,0.0386845678749337
"104","rafflesplace",2,206.835267832941,2.66549058668341,0.566447130924166
"105","redhill",0,13.7264170147703,NA,0.0368453646453383
"106","rochor",0,103.442453641468,2.81910873787467,0.283072309062784
"107","sembawang",0,2.07944154167984,NA,0.00558177576707842
"108","sengkang",0,12.8891694902366,NA,0.0345979689624987
"109","serangoon",2,71.8538865343141,NA,0.19901046456146
"110","shentonway",0,90.4848187266197,3.61861025826738,0.24982347159489
"111","siglap",0,10.317251463459,NA,0.0276942549464834
"112","simei",0,10.1345992734995,NA,0.0272039677480772
"113","sixthavenue",0,35.1088639277261,NA,0.09424155570304
"114","somerset",0,155.962908237021,0.728238500371215,0.420042323166541
"115","springleaf",0,NA,NA,0
"116","stadium",0,14.3422725210286,NA,0.0384984850971291
"117","stevens",2,47.2750842075802,NA,0.133034402978913
"118","taiseng",0,29.8067567991635,NA,0.0800092858885413
"119","tampines",2,20.2025778596571,NA,0.0603645746341163
"120","tampineseast",0,16.0106529690962,NA,0.0429768632427191
"121","tampineswest",0,12.0299677253466,NA,0.0322916422424794
"122","tanahmerah",0,17.5358305379125,NA,0.0470708466625336
"123","tanjongkatong",0,20.881032371684,NA,0.056050260681861
"124","tanjongpagar",0,85.114559123873,1.72722094809048,0.231781838491605
"125","tanjongrhu",0,5.95064255258773,NA,0.0159731118826008
"126","tankahkee",0,34.788693097032,NA,0.0933821317912477
"127","telokayer",0,116.815416898144,5.38596330778418,0.32389042550357
"128","telokblangah",0,15.3024824868376,0.693147180559945,0.0424049390015492
"129","tiongbahru",0,76.1921406817254,NA,0.204520029043724
"130","toapayoh",0,18.3261414669261,NA,0.0491922520031529
"131","tuascrescent",0,1.79175946922805,NA,0.00480956034844393
"132","tuaslink",0,3.80666248977032,NA,0.0102180975098159
"133","tuaswestroad",0,4.31748811353631,NA,0.0115892897413784
"134","ubi",0,21.4839925899566,NA,0.0576687667410154
"135","upperchangi",0,10.6691414238828,NA,0.0286388214632152
"136","upperthomson",0,16.2342774052477,NA,0.0435771308788215
"137","woodlands",2,15.1450059700408,NA,0.0467887026281582
"138","woodlandsnorth",0,NA,NA,0
"139","woodlandssouth",0,4.27666611901606,NA,0.0114797126192473
