"","station_code","stations","line","line_code","line_number","score","Reachable_Stations"
"23","CC22","Buona Vista","Circle Line","CCL",22,0.106985965475801,"BUONA VISTA MRT STATION (EW21)/BUONA VISTA MRT STATION (CC22)/COMMONWEALTH MRT STATION (EW20)/DOVER MRT STATION (EW22)/QUEENSTOWN MRT STATION (EW19)/ONE-NORTH MRT STATION (CC23)/KENT RIDGE MRT STATION (CC24)/HOLLAND VILLAGE MRT STATION (CC21)"
"24","CC23","one-north","Circle Line","CCL",23,0.0387703984540633,"BUONA VISTA MRT STATION (EW21)/KENT RIDGE MRT STATION (CC24)/BUONA VISTA MRT STATION (CC22)/BUONA VISTA MRT STATION/DOVER MRT STATION (EW22)/COMMONWEALTH MRT STATION (EW20)/HOLLAND VILLAGE MRT STATION (CC21)"
"25","CC24","Kent Ridge","Circle Line","CCL",24,0.0407008986375612,"ONE-NORTH MRT STATION (CC23)/HAW PAR VILLA MRT STATION (CC25)/HAW PAR VILLA MRT STATION/BUONA VISTA MRT STATION (EW21)/BUONA VISTA MRT STATION (CC22)/BUONA VISTA MRT STATION/DOVER MRT STATION (EW22)/HOLLAND VILLAGE MRT STATION (CC21)/COMMONWEALTH MRT STATION (EW20)"
"26","CC25","Haw Par Villa","Circle Line","CCL",25,0.0414126007844764,"LABRADOR PARK MRT STATION (CC27)/HAW PAR VILLA MRT STATION (CC25)/PASIR PANJANG MRT STATION (CC26)/LABRADOR PARK MRT STATION/KENT RIDGE MRT STATION (CC24)"
"27","CC26","Pasir Panjang","Circle Line","CCL",26,0.0290560755065808,"LABRADOR PARK MRT STATION (CC27)/TELOK BLANGAH MRT STATION (CC28)/HAW PAR VILLA MRT STATION (CC25)/HAW PAR VILLA MRT STATION/LABRADOR PARK MRT STATION"
"28","CC27","Labrador Park","Circle Line","CCL",27,0.0823412807402309,"HARBOURFRONT MRT STATION (NE1 / CC29)/LABRADOR PARK MRT STATION (CC27)/TELOK BLANGAH MRT STATION (CC28)/PASIR PANJANG MRT STATION (CC26)/HARBOURFRONT MRT STATION/HAW PAR VILLA MRT STATION/HAW PAR VILLA MRT STATION (CC25)"
"29","CC28","Telok Blangah","Circle Line","CCL",28,0.0425354263503526,"LABRADOR PARK MRT STATION (CC27)/LABRADOR PARK MRT STATION/HARBOURFRONT MRT STATION (NE1 / CC29)/HARBOURFRONT MRT STATION/KEPPEL MRT STATION (CC30)/PASIR PANJANG MRT STATION (CC26)"
"30","CC29","HarbourFront","Circle Line","CCL",29,0.0762191088969998,"HARBOURFRONT MRT STATION (NE1 / CC29)/TELOK BLANGAH MRT STATION (CC28)/LABRADOR PARK MRT STATION/LABRADOR PARK MRT STATION (CC27)/KEPPEL MRT STATION (CC30)/CANTONMENT MRT STATION (CC31)"
"31","CG1","Expo","Changi Airport Branch Line","CGL",1,0.0473050702901776,"EXPO MRT STATION (DT35)/TAMPINES EAST MRT STATION (DT33)/SIMEI MRT STATION (EW3)/UPPER CHANGI MRT STATION (DT34)/TANAH MERAH MRT STATION (EW4)/XILIN MRT STATION (DT36)"
"32","CG2","Changi Airport","Changi Airport Branch Line","CGL",2,0,NA
"33","DT1","Bukit Panjang","Downtown Line","DTL",1,0.0911826301931952,"CASHEW MRT STATION (DT2)/HILLVIEW MRT STATION (DT3)/BUKIT PANJANG MRT STATION (DT1)/CASHEW MRT STATION/HILLVIEW MRT STATION/CHOA CHU KANG MRT STATION (NS4)/CHOA CHU KANG MRT STATION (JS1)/CHOA CHU KANG WEST MRT STATION (JS2)"
"34","DT2","Cashew","Downtown Line","DTL",2,0.0647233236032338,"CASHEW MRT STATION (DT2)/HUME MRT STATION (DT4)/HILLVIEW MRT STATION (DT3)/BUKIT PANJANG MRT STATION (DT1)/BUKIT PANJANG MRT STATION/HILLVIEW MRT STATION"
"35","DT3","Hillview","Downtown Line","DTL",3,0.06809843322777,"HUME MRT STATION (DT4)/HILLVIEW MRT STATION (DT3)/CASHEW MRT STATION (DT2)/CASHEW MRT STATION/BUKIT PANJANG MRT STATION (DT1)/BUKIT PANJANG MRT STATION"
"36","DT4","Hume","Downtown Line","DTL",4,0.0353086014961993,"CASHEW MRT STATION (DT2)/BEAUTY WORLD MRT STATION (DT5)/HILLVIEW MRT STATION (DT3)/CASHEW MRT STATION/BEAUTY WORLD MRT STATION/HILLVIEW MRT STATION"
"37","DT5","Beauty World","Downtown Line","DTL",5,0.0359969910264507,"KING ALBERT PARK MRT STATION (DT6)/BEAUTY WORLD MRT STATION (DT5)/KING ALBERT PARK MRT STATION/HUME MRT STATION (DT4)"
"38","DT6","King Albert Park","Downtown Line","DTL",6,0.0524238657598494,"KING ALBERT PARK MRT STATION (DT6)/SIXTH AVENUE MRT STATION (DT7)/SIXTH AVENUE MRT STATION./BEAUTY WORLD MRT STATION (DT5)/BEAUTY WORLD MRT STATION"
"39","DT7","Sixth Avenue","Downtown Line","DTL",7,0.0945315533080442,"KING ALBERT PARK MRT STATION (DT6)/BOTANIC GARDENS MRT STATION (CC19)/BOTANIC GARDENS MRT STATION (DT9)/TAN KAH KEE MRT STATION (DT8)/BOTANIC GARDENS MRT STATION/KING ALBERT PARK MRT STATION/SIXTH AVENUE MRT STATION./TAN KAH KEE MRT STATION"
"40","DT8","Tan Kah Kee","Downtown Line","DTL",8,0.093669484799882,"BOTANIC GARDENS MRT STATION (CC19)/BOTANIC GARDENS MRT STATION (DT9)/STEVENS MRT STATION (DT10)/STEVENS MRT STATION (TE11)/TAN KAH KEE MRT STATION (DT8)/SIXTH AVENUE MRT STATION (DT7)/BOTANIC GARDENS MRT STATION/SIXTH AVENUE MRT STATION./FARRER ROAD MRT STATION (CC20)"
"41","DT9","Botanic Gardens","Downtown Line","DTL",9,0.171054844785138,"BOTANIC GARDENS MRT STATION (CC19)/BOTANIC GARDENS MRT STATION (DT9)/STEVENS MRT STATION (DT10)/STEVENS MRT STATION (TE11)/TAN KAH KEE MRT STATION (DT8)/TAN KAH KEE MRT STATION/FARRER ROAD MRT STATION (CC20)/NEWTON MRT STATION (DT11)/NEWTON MRT STATION (NS21)/NEWTON MRT STATION/SIXTH AVENUE MRT STATION (DT7)/SIXTH AVENUE MRT STATION."
