"","station_code","stations","line","line_code","line_number","join_station","is_interchange","is_above_ground","operator","commencement","n_stations","length","cost","cost_per_km","n_lines"
"30","CC29","HarbourFront","Circle Line","CCL",29,"harbourfront",1,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,2
"31","CG1","Expo","Changi Airport Branch Line","CGL",1,"expo",1,0,"SMRT Trains",2002-02-08,2,57.2,13.68,0.239160839160839,2
"32","CG2","Changi Airport","Changi Airport Branch Line","CGL",2,"changiairport",0,0,"SMRT Trains",2002-02-08,2,57.2,13.68,0.239160839160839,1
"33","DT1","Bukit Panjang","Downtown Line","DTL",1,"bukitpanjang",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"34","DT2","Cashew","Downtown Line","DTL",2,"cashew",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"35","DT3","Hillview","Downtown Line","DTL",3,"hillview",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"36","DT4","Hume","Downtown Line","DTL",4,"hume",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"37","DT5","Beauty World","Downtown Line","DTL",5,"beautyworld",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"38","DT6","King Albert Park","Downtown Line","DTL",6,"kingalbertpark",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"39","DT7","Sixth Avenue","Downtown Line","DTL",7,"sixthavenue",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"40","DT8","Tan Kah Kee","Downtown Line","DTL",8,"tankahkee",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"41","DT9","Botanic Gardens","Downtown Line","DTL",9,"botanicgardens",1,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,2
"42","DT10","Stevens","Downtown Line","DTL",10,"stevens",1,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,2
"43","DT11","Newton","Downtown Line","DTL",11,"newton",1,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,2
"44","DT12","Little India","Downtown Line","DTL",12,"littleindia",1,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,2
"45","DT13","Rochor","Downtown Line","DTL",13,"rochor",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"46","DT14","Bugis","Downtown Line","DTL",14,"bugis",1,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,2
"47","DT15","Promenade","Downtown Line","DTL",15,"promenade",1,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,2
"48","DT16","Bayfront","Downtown Line","DTL",16,"bayfront",1,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,2
"49","DT17","Downtown","Downtown Line","DTL",17,"downtown",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"50","DT18","Telok Ayer","Downtown Line","DTL",18,"telokayer",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"51","DT19","Chinatown","Downtown Line","DTL",19,"chinatown",1,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,2
"52","DT20","Fort Canning","Downtown Line","DTL",20,"fortcanning",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"53","DT21","Bencoolen","Downtown Line","DTL",21,"bencoolen",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"54","DT22","Jalan Besar","Downtown Line","DTL",22,"jalanbesar",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"55","DT23","Bendemeer","Downtown Line","DTL",23,"bendemeer",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"56","DT24","Geylang Bahru","Downtown Line","DTL",24,"geylangbahru",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"57","DT25","Mattar","Downtown Line","DTL",25,"mattar",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"58","DT26","MacPherson","Downtown Line","DTL",26,"macpherson",1,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,2
"59","DT27","Ubi","Downtown Line","DTL",27,"ubi",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"60","DT28","Kaki Bukit","Downtown Line","DTL",28,"kakibukit",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"61","DT29","Bedok North","Downtown Line","DTL",29,"bedoknorth",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"62","DT30","Bedok Reservoir","Downtown Line","DTL",30,"bedokreservoir",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"63","DT31","Tampines West","Downtown Line","DTL",31,"tampineswest",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"64","DT32","Tampines","Downtown Line","DTL",32,"tampines",1,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,2
"65","DT33","Tampines East","Downtown Line","DTL",33,"tampineseast",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"66","DT34","Upper Changi","Downtown Line","DTL",34,"upperchangi",0,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,1
"67","DT35","Expo","Downtown Line","DTL",35,"expo",1,0,"SBS Transit",2013-12-22,35,41.9,20.7,0.494033412887828,2
"68","EW1","Pasir Ris","East West Line","EWL",1,"pasirris",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"69","EW2","Tampines","East West Line","EWL",2,"tampines",1,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,2
"70","EW3","Simei","East West Line","EWL",3,"simei",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"71","EW4","Tanah Merah","East West Line","EWL",4,"tanahmerah",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
