"","Station_Name","longitude","latitude"
"112","simei",103.953377214378,1.34319707851829
"113","sixth avenue",103.796906838288,1.33085764536226
"114","somerset",103.839122044986,1.30025852224774
"115","springleaf",103.817856949947,1.39758106126824
"116","stadium",103.875337711089,1.3028124684707
"117","stevens",103.825795683579,1.31969996592988
"118","tai seng",103.888389300191,1.33514150139202
"119","tampines",103.94407723494,1.35422604378924
"120","tampines east",103.9546344625,1.35619148271544
"121","tampines west",103.938436971222,1.34551530560119
"122","tan kah kee",103.80715425321,1.32597423833124
"123","tanah merah",103.946348600798,1.32718729074675
"124","tanjong katong",103.897368742078,1.29931925769899
"125","tanjong pagar",103.845725186759,1.27656131737246
"126","tanjong rhu",103.873453254621,1.29726507940646
"127","telok ayer",103.848648781083,1.28206894769394
"128","telok blangah",103.809761611219,1.27070647717762
"129","tiong bahru",103.827222026076,1.28614855753159
"130","toa payoh",103.847502198048,1.33262928096888
"131","tuas crescent",103.649078235627,1.32102695598684
"132","tuas link",103.636991425128,1.34088242451105
"133","tuas west road",103.639616648771,1.32998504653102
"134","ubi",103.899226655439,1.32997425973974
"135","upper changi",103.961472788634,1.34173977444995
"136","upper thomson",103.832898468504,1.35441643365401
"137","woodlands",103.787002788213,1.43643862334824
"138","woodlands north",103.785692682441,1.44829245259621
"139","woodlands south",103.79326432221,1.42739605281442
"140","woodleigh",103.870889598565,1.33950914555785
"141","yew tee",103.747405150236,1.39753506936297
"142","yio chu kang",103.84494727118,1.38175587099132
"143","yishun",103.835005047246,1.42944308477331
