"station_code","stations","line","line_code","line_number","join_station","is_interchange","avg_bus_score","avg_walk_score","Score","Reachable_Stations","Reachable_Count","MRT_Score","avg_mrt_score"
"CC20","Farrer Road","Circle Line","CCL",20,"farrerroad",0,0.342342646298595,0,0.0684685292597191,NA,0,0,0
"CC21","Holland Village","Circle Line","CCL",21,"hollandvillage",0,0.235733323803811,0,0.0471466647607622,NA,0,0,0
"CC22","Buona Vista","Circle Line","CCL",22,"buonavista",1,0.499707621009821,0,0.449941524201964,NA,0,0,0
"CC23","one-north","Circle Line","CCL",23,"one-north",0,0.432091893167721,0,0.108293378633544,"BUONA VISTA MRT STATION (EW21)/KENT RIDGE MRT STATION (CC24)/BUONA VISTA MRT STATION (CC22)/BUONA VISTA MRT STATION/DOVER MRT STATION (EW22)/COMMONWEALTH MRT STATION (EW20)/HOLLAND VILLAGE MRT STATION (CC21)",7,0.145833333333333,0.145833333333333
"CC24","Kent Ridge","Circle Line","CCL",24,"kentridge",0,0.365635455641978,0,0.0731270911283957,NA,0,0,0
"CC25","Haw Par Villa","Circle Line","CCL",25,"hawparvilla",0,0.426765596139378,0,0.0853531192278756,NA,0,0,0
"CC26","Pasir Panjang","Circle Line","CCL",26,"pasirpanjang",0,0.488803062225142,0,0.0977606124450285,NA,0,0,0
"CC27","Labrador Park","Circle Line","CCL",27,"labradorpark",0,0.605461601248172,0,0.121092320249634,NA,0,0,0
"CC28","Telok Blangah","Circle Line","CCL",28,"telokblangah",0,0.584081678732479,0,0.116816335746496,NA,0,0,0
"CC29","HarbourFront","Circle Line","CCL",29,"harbourfront",1,0.633144196416274,0,0.495378839283255,"HARBOURFRONT MRT STATION (NE1 / CC29)/TELOK BLANGAH MRT STATION (CC28)/LABRADOR PARK MRT STATION/LABRADOR PARK MRT STATION (CC27)/KEPPEL MRT STATION (CC30)/CANTONMENT MRT STATION (CC31)",6,0.125,0.125
"CG1","Expo","Changi Airport Branch Line","CGL",1,"expo",1,0.38752681817886,0,0.446255363635772,"EXPO MRT STATION (DT35)/TAMPINES EAST MRT STATION (DT33)/SIMEI MRT STATION (EW3)/UPPER CHANGI MRT STATION (DT34)/TANAH MERAH MRT STATION (EW4)/XILIN MRT STATION (DT36)",6,0.125,0.125
"CG2","Changi Airport","Changi Airport Branch Line","CGL",2,"changiairport",0,NA,NA,NA,NA,NA,NA,NA
"DT1","Bukit Panjang","Downtown Line","DTL",1,"bukitpanjang",0,0.553902836308642,0,0.110780567261728,NA,0,0,0
"DT2","Cashew","Downtown Line","DTL",2,"cashew",0,0.547668995822743,0,0.128283799164549,"CASHEW MRT STATION (DT2)/HUME MRT STATION (DT4)/HILLVIEW MRT STATION (DT3)/BUKIT PANJANG MRT STATION (DT1)/BUKIT PANJANG MRT STATION/HILLVIEW MRT STATION",6,0.125,0.125
"DT3","Hillview","Downtown Line","DTL",3,"hillview",0,0.584386462986686,0,0.135627292597337,"HUME MRT STATION (DT4)/HILLVIEW MRT STATION (DT3)/CASHEW MRT STATION (DT2)/CASHEW MRT STATION/BUKIT PANJANG MRT STATION (DT1)/BUKIT PANJANG MRT STATION",6,0.125,0.125
"DT4","Hume","Downtown Line","DTL",4,"hume",0,0.509407632298003,0,0.120631526459601,"CASHEW MRT STATION (DT2)/BEAUTY WORLD MRT STATION (DT5)/HILLVIEW MRT STATION (DT3)/CASHEW MRT STATION/BEAUTY WORLD MRT STATION/HILLVIEW MRT STATION",6,0.125,0.125
"DT5","Beauty World","Downtown Line","DTL",5,"beautyworld",0,0.51067102425527,0,0.102134204851054,NA,0,0,0
"DT6","King Albert Park","Downtown Line","DTL",6,"kingalbertpark",0,0.577442727666459,0,0.115488545533292,NA,0,0,0
