"line_code","DAY_TYPE","station_code","is_peak","stations","AVG_RIDERS"
"DTL","WEEKDAY","DT2",1,"Cashew",13378.5666666667
"DTL","WEEKDAY","DT20",0,"Fort Canning",10122.6111111111
"DTL","WEEKDAY","DT20",1,"Fort Canning",22667.1
"DTL","WEEKDAY","DT21",0,"Bencoolen",12405.9888888889
"DTL","WEEKDAY","DT21",1,"Bencoolen",24656.1333333333
"DTL","WEEKDAY","DT22",0,"Jalan Besar",15213.7333333333
"DTL","WEEKDAY","DT22",1,"Jalan Besar",29970.4333333333
"DTL","WEEKDAY","DT23",0,"Bendemeer",6619.03333333333
"DTL","WEEKDAY","DT23",1,"Bendemeer",21548.2
"DTL","WEEKDAY","DT24",0,"Geylang Bahru",7961.93333333333
"DTL","WEEKDAY","DT24",1,"Geylang Bahru",22463.4666666667
"DTL","WEEKDAY","DT25",0,"Mattar",6423.03333333333
"DTL","WEEKDAY","DT25",1,"Mattar",18867.6
"DTL","WEEKDAY","DT27",0,"Ubi",12995.7111111111
"DTL","WEEKDAY","DT27",1,"Ubi",42258.8333333333
"DTL","WEEKDAY","DT28",0,"Kaki Bukit",14680.1777777778
"DTL","WEEKDAY","DT28",1,"Kaki Bukit",51947.5
"DTL","WEEKDAY","DT29",0,"Bedok North",10592.7444444444
"DTL","WEEKDAY","DT29",1,"Bedok North",31383.4333333333
"DTL","WEEKDAY","DT3",0,"Hillview",10769.8444444444
"DTL","WEEKDAY","DT3",1,"Hillview",29222.2
"DTL","WEEKDAY","DT30",0,"Bedok Reservoir",11582.5222222222
"DTL","WEEKDAY","DT30",1,"Bedok Reservoir",33660
"DTL","WEEKDAY","DT31",0,"Tampines West",12600.9222222222
"DTL","WEEKDAY","DT31",1,"Tampines West",37577.4
"DTL","WEEKDAY","DT33",0,"Tampines East",24654.4555555556
"DTL","WEEKDAY","DT33",1,"Tampines East",75051.6666666667
"DTL","WEEKDAY","DT34",0,"Upper Changi",7374.18888888889
"DTL","WEEKDAY","DT34",1,"Upper Changi",21009.4666666667
"DTL","WEEKDAY","DT5",0,"Beauty World",20961.3444444444
"DTL","WEEKDAY","DT5",1,"Beauty World",51204.2666666667
"DTL","WEEKDAY","DT6",0,"King Albert Park",11233.4444444444
"DTL","WEEKDAY","DT6",1,"King Albert Park",27740.6333333333
"DTL","WEEKDAY","DT7",0,"Sixth Avenue",6222.06666666667
"DTL","WEEKDAY","DT7",1,"Sixth Avenue",17938.9333333333
"DTL","WEEKDAY","DT8",0,"Tan Kah Kee",6884.31111111111
"DTL","WEEKDAY","DT8",1,"Tan Kah Kee",19243.7
"EWL","WEEKDAY","EW1",0,"Pasir Ris",41746.3333333333
"EWL","WEEKDAY","EW1",1,"Pasir Ris",110106.1
"EWL","WEEKDAY","EW10",0,"Kallang",17539.8444444444
"EWL","WEEKDAY","EW10",1,"Kallang",42262.2666666667
"EWL","WEEKDAY","EW11",0,"Lavender",28797.2333333333
"EWL","WEEKDAY","EW11",1,"Lavender",60582.7666666667
"EWL","WEEKDAY","EW12",0,"Bugis",47015.4333333333
"EWL","WEEKDAY","EW12",1,"Bugis",82716.0333333333
"EWL","WEEKDAY","EW14",0,"Raffles Place",42554.4833333333
"EWL","WEEKDAY","EW14",1,"Raffles Place",115646.516666667
"EWL","WEEKDAY","EW15",0,"Tanjong Pagar",56283.5777777778
"EWL","WEEKDAY","EW15",1,"Tanjong Pagar",160637.833333333
"EWL","WEEKDAY","EW16",0,"Outram Park",17197.3777777778
"EWL","WEEKDAY","EW16",1,"Outram Park",42898.0222222222
"EWL","WEEKDAY","EW17",0,"Tiong Bahru",39456.3111111111
"EWL","WEEKDAY","EW17",1,"Tiong Bahru",91320.9666666667
"EWL","WEEKDAY","EW18",0,"Redhill",26462.7666666667
"EWL","WEEKDAY","EW18",1,"Redhill",74353.9333333333
"EWL","WEEKDAY","EW19",0,"Queenstown",23425.5111111111
"EWL","WEEKDAY","EW19",1,"Queenstown",65888.2
"EWL","WEEKDAY","EW2",0,"Tampines",40034.6888888889
"EWL","WEEKDAY","EW2",1,"Tampines",100649.116666667
"EWL","WEEKDAY","EW20",0,"Commonwealth",19248.0111111111
"EWL","WEEKDAY","EW20",1,"Commonwealth",53427.3666666667
"EWL","WEEKDAY","EW21",0,"Buona Vista",18640.3166666667
"EWL","WEEKDAY","EW21",1,"Buona Vista",55081.3
"EWL","WEEKDAY","EW22",0,"Dover",18732.6777777778
"EWL","WEEKDAY","EW22",1,"Dover",42785.4666666667
"EWL","WEEKDAY","EW23",0,"Clementi",70465.2666666667
"EWL","WEEKDAY","EW23",1,"Clementi",182200.866666667
"EWL","WEEKDAY","EW24",0,"Jurong East",49127.2
"EWL","WEEKDAY","EW24",1,"Jurong East",135382.066666667
"EWL","WEEKDAY","EW25",0,"Chinese Garden",14716.6444444444
"EWL","WEEKDAY","EW25",1,"Chinese Garden",44608.9
"EWL","WEEKDAY","EW26",0,"Lakeside",45455.6888888889
"EWL","WEEKDAY","EW26",1,"Lakeside",134753.3
"EWL","WEEKDAY","EW27",0,"Boon Lay",68795.3222222222
"EWL","WEEKDAY","EW27",1,"Boon Lay",195388.033333333
"EWL","WEEKDAY","EW28",0,"Pioneer",38395.1
"EWL","WEEKDAY","EW28",1,"Pioneer",114397.266666667
"EWL","WEEKDAY","EW29",0,"Joo Koon",17298.8
"EWL","WEEKDAY","EW29",1,"Joo Koon",86248.9
"EWL","WEEKDAY","EW3",0,"Simei",26673.1111111111
"EWL","WEEKDAY","EW3",1,"Simei",63033.3
"EWL","WEEKDAY","EW30",0,"Gul Circle",3893.3
"EWL","WEEKDAY","EW30",1,"Gul Circle",23724.9333333333
"EWL","WEEKDAY","EW31",0,"Tuas Crescent",4558.28888888889
"EWL","WEEKDAY","EW31",1,"Tuas Crescent",26377.8333333333
"EWL","WEEKDAY","EW32",0,"Tuas West Road",5368.93333333333
"EWL","WEEKDAY","EW32",1,"Tuas West Road",27064.7666666667
"EWL","WEEKDAY","EW33",0,"Tuas Link",6055.03333333333
"EWL","WEEKDAY","EW33",1,"Tuas Link",21374.7
"EWL","WEEKDAY","EW4",0,"Tanah Merah",22118.5222222222
"EWL","WEEKDAY","EW4",1,"Tanah Merah",62889.0666666667
"EWL","WEEKDAY","EW5",0,"Bedok",49777.7333333333
"EWL","WEEKDAY","EW5",1,"Bedok",117292.566666667
"EWL","WEEKDAY","EW6",0,"Kembangan",16983.8444444444
"EWL","WEEKDAY","EW6",1,"Kembangan",42991.1333333333
"EWL","WEEKDAY","EW7",0,"Eunos",23789.3111111111
"EWL","WEEKDAY","EW7",1,"Eunos",58307.8333333333
"EWL","WEEKDAY","EW8",0,"Paya Lebar",34628.6277777778
"EWL","WEEKDAY","EW8",1,"Paya Lebar",78395.1666666667
"EWL","WEEKDAY","EW9",0,"Aljunied",32710.4111111111
"EWL","WEEKDAY","EW9",1,"Aljunied",80732.7666666667
"NEL","WEEKDAY","NE1",0,"HarbourFront",38483.3833333333
"NEL","WEEKDAY","NE1",1,"HarbourFront",76053.85
"NEL","WEEKDAY","NE10",0,"Potong Pasir",23792.0555555556
